epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
1,781,0.3171563285871596,0.0019981967960216018,1.6316419740645132,38.758652768886044,87.98828125,61.241347231113956,12.01171875,0.020144377544427373,0.0042877258009212035,1.4168072874069213,52.48,93.14,47.52,6.859999999999999
2,1562,0.3146124023481459,0.0018612743187194903,1.14052236438866,58.83970370518566,95.63985475352112,41.16029629481434,4.360145246478879,0.01786672689352825,0.004200765281725841,1.1659109003067016,62.3,97.38,37.7,2.6200000000000045
3,2343,0.31507720867894523,0.0021220767696444112,0.9192441063104305,67.36330625800257,97.3176416453265,32.63669374199743,2.6823583546734966,0.019134849499744973,0.005762402419072048,1.0260378050804138,67.23,97.94,32.769999999999996,2.0600000000000023
4,3124,0.31491232101499045,0.002120552844488361,0.7712050835088029,72.95434539052496,98.1291513284251,27.045654609475037,1.8708486715749046,0.01795942160733946,0.0049145115408927775,0.7874456581115723,74.24,98.67,25.760000000000005,1.3299999999999983
5,3905,0.31486463333061504,0.002094380528917691,0.6818324638084626,76.22401668533931,98.52027648847631,23.775983314660692,1.4797235115236873,0.017881694113373,0.004572939720882732,0.9934460717201233,71.23,96.59,28.769999999999996,3.4099999999999966
6,4686,0.31470837086324654,0.002156565955597979,0.6217009416386656,78.33431698143406,98.78186019526248,21.665683018565943,1.2181398047375183,0.018596719025046962,0.005855238361723104,0.6385683753013611,79.6,98.66,20.400000000000006,1.3400000000000034
7,5467,0.3148937039124981,0.0021073671675522106,0.5716905562199948,80.04811539692702,98.95766645326505,19.951884603072983,1.0423335467349517,0.017791576446241634,0.004351553643585011,0.5781579392433166,81.26,99.25,18.739999999999995,0.75
8,6248,0.31478952415163475,0.0021572406099639387,0.5272162886725192,81.61661731754161,99.09008382682458,18.38338268245839,0.909916173175418,0.017948313123860936,0.004741176678116914,0.5688173583030701,82.21,99.01,17.790000000000006,0.9899999999999949
9,7029,0.3149522620798226,0.0021357169987755455,0.5019556853667416,82.50227572823303,99.19536751760563,17.49772427176697,0.8046324823943678,0.017520271289120815,0.004822311887315884,0.5478483833312988,82.38,99.15,17.620000000000005,0.8499999999999943
10,7810,0.3149097396225386,0.0023306182343584324,0.4688401782405819,83.65539472631242,99.25588688380282,16.344605273687577,0.7441131161971839,0.017471731088723345,0.004237524263418404,0.534319758605957,82.46,99.35,17.540000000000006,0.6500000000000057
11,8591,0.31502744696662305,0.00209919377569963,0.4476334853682109,84.39513144206146,99.33803817221511,15.604868557938545,0.6619618277848929,0.019156068753285013,0.00619250498000224,0.3867269673347473,87.3,99.56,12.700000000000003,0.4399999999999977
12,9372,0.3149642532216755,0.0022356113306844128,0.4270685855847773,85.04083806818181,99.43681978233035,14.959161931818187,0.5631802176696539,0.01847433436448407,0.0057124514488657565,0.4342217393875122,85.9,99.4,14.099999999999994,0.5999999999999943
13,10153,0.3147701383705481,0.0021150634169731187,0.40709472297858945,85.77457286331627,99.45507562419975,14.225427136683734,0.5449243758002495,0.0185789910091716,0.0058347389196893975,0.5924985994338989,82.04,99.13,17.959999999999994,0.8700000000000045
14,10934,0.31476914134739914,0.00220366904128071,0.3926672054199495,86.28748699583866,99.49771426856594,13.712513004161337,0.502285731434057,0.018708004313669386,0.00596469830555521,0.3556150697231293,88.04,99.69,11.959999999999994,0.3100000000000023
15,11715,0.3148108401768644,0.002101149968087444,0.3729135861927965,86.98358474711908,99.52659851152369,13.016415252880918,0.4734014884763127,0.018744732923568434,0.005744982676900876,0.4634808807373047,85.25,99.57,14.75,0.4300000000000068
16,12496,0.3150755977508506,0.0023459466257718096,0.36546960621881425,87.17627140685019,99.56611115556979,12.82372859314981,0.43388884443021425,0.019245660988388546,0.005870489557837225,0.31199052815437317,89.46,99.64,10.540000000000006,0.35999999999999943
17,13277,0.31512610433043653,0.0022921641565926097,0.3553703240143963,87.63166713348271,99.5637353953265,12.368332866517292,0.4362646046734966,0.01791008111018284,0.004453085030719733,0.36448006579875947,88.38,99.76,11.620000000000005,0.23999999999999488
18,14058,0.31501087397527755,0.002152722867899759,0.3414448653842667,88.0583036571703,99.62625540172856,11.941696342829701,0.37374459827144335,0.018069611992805625,0.004803657531738281,0.43852650156021117,86.08,99.6,13.920000000000002,0.4000000000000057
19,14839,0.31490216395613785,0.002133053182487146,0.33575966788238815,88.2201054337388,99.63625860275287,11.779894566261206,0.36374139724712506,0.019224786454704917,0.005976488635798169,0.48652016394138337,85.9,99.53,14.099999999999994,0.46999999999999886
20,15620,0.3149358930111542,0.002113343506250125,0.3240497989744597,88.65762043854033,99.63588348271446,11.342379561459666,0.36411651728553807,0.019438356350941263,0.005751738882368537,0.2964981472969055,90.13,99.73,9.870000000000005,0.269999999999996
21,16401,0.31512157376688665,0.0023004028769675047,0.31940637502184904,88.78028469110116,99.64826244398208,11.219715308898841,0.3517375560179232,0.017793524796795693,0.004589847698333157,0.34065150094032287,89.27,99.71,10.730000000000004,0.29000000000000625
22,17182,0.31481176027109925,0.0021387218055285502,0.30831658117062916,89.20141945422536,99.68214828745198,10.79858054577464,0.3178517125480198,0.019444369966057456,0.005995085284968091,0.34319515385627747,89.14,99.66,10.86,0.3400000000000034
23,17963,0.31480941393921835,0.0021639337307665014,0.3037913279290694,89.33208626760563,99.69302676856594,10.667913732394368,0.30697323143405697,0.018864648357318464,0.005998196875213817,0.34794936995506287,88.89,99.63,11.11,0.37000000000000455
24,18744,0.3148147608040237,0.002099344886066666,0.2943968011040083,89.67494598271446,99.7161591709347,10.325054017285538,0.28384082906529784,0.019174802075525757,0.005554256925157681,0.4746958001613617,86.26,99.69,13.739999999999995,0.3100000000000023
25,19525,0.3148255390943852,0.0020964289138930706,0.2941703673514148,89.70633102592829,99.71053237035852,10.293668974071707,0.28946762964147865,0.01964947828062021,0.006635717525603665,0.40217999143600464,87.46,99.57,12.540000000000006,0.4300000000000068
26,20306,0.3152882039318011,0.0022380803824997436,0.2903253189103246,89.82311839788733,99.72778789212548,10.176881602112672,0.2722121078745232,0.01977245822833602,0.006161316185240533,0.31284508180618287,90.36,99.7,9.64,0.29999999999999716
27,21087,0.3150862392786981,0.002097709536094519,0.28120323393622676,90.13734395006402,99.74704405409732,9.862656049935978,0.2529559459026842,0.0187689255756937,0.005482719202709805,0.36012075781822206,89.2,99.4,10.799999999999997,0.5999999999999943
28,21868,0.3150418821278669,0.0022147410047191666,0.2772600156530528,90.2926436459667,99.73729093309859,9.707356354033294,0.26270906690140805,0.018835388171445033,0.006039578443879534,0.3742656228542328,88.96,99.62,11.040000000000006,0.37999999999999545
29,22649,0.3149501605772636,0.0021907101825318475,0.27442979106677173,90.37879621478874,99.76479973591549,9.621203785211264,0.23520026408451145,0.01936133500117405,0.005835445063888647,0.2975088490962982,90.01,99.7,9.989999999999995,0.29999999999999716
30,23430,0.3150936852038746,0.002190871366923353,0.267427458004518,90.62037351952625,99.75704725512163,9.379626480473746,0.24295274487836593,0.017947889437341387,0.004817422028559788,0.33010768992900846,89.74,99.64,10.260000000000005,0.35999999999999943
31,24211,0.3148012210098638,0.002174215951741276,0.2598563005978411,90.85432338348271,99.77342749679897,9.145676616517292,0.22657250320102662,0.0177950934999308,0.004407015575724802,0.30663180918693544,90.8,99.55,9.200000000000003,0.45000000000000284
32,24992,0.31484321045967134,0.002122555438443427,0.2611690288488294,90.83156610115238,99.77817901728554,9.168433898847624,0.22182098271446193,0.018083545053081147,0.004638006732721997,0.3399313289403915,89.23,99.7,10.769999999999996,0.29999999999999716
33,25773,0.3149667292947806,0.0021202316967992257,0.2595831922585772,90.86170074423815,99.77880421734955,9.13829925576185,0.22119578265045448,0.018803364152361633,0.0057613591479647695,0.322222370839119,90.48,99.67,9.519999999999996,0.3299999999999983
34,26554,0.314893177010491,0.002090965739896142,0.2528507425217256,91.13203725192062,99.78505621798976,8.867962748079378,0.21494378201023778,0.01917450139476995,0.005950953550399488,0.2705815508365631,91.73,99.75,8.269999999999996,0.25
35,27335,0.31503897134534226,0.0022771630183377432,0.24741957344296037,91.26345430537772,99.80631302016646,8.73654569462228,0.19368697983354366,0.01851365065119069,0.004805463134862815,0.34917744140625,89.89,99.71,10.11,0.29000000000000625
36,28116,0.3150543320957433,0.0021697656751136925,0.24848562571555186,91.25620198463508,99.79193341869399,8.743798015364916,0.20806658130601363,0.019043220835886183,0.0059374456952331935,0.2719218395113945,91.58,99.83,8.420000000000002,0.1700000000000017
37,28897,0.3149389008706419,0.002235433050978657,0.2449469396346052,91.37361455665813,99.79668493918054,8.626385443341874,0.20331506081946316,0.017889660634812277,0.00468910120095417,0.2741160418987274,91.3,99.73,8.700000000000003,0.269999999999996
