epoch,acc test,acc train,time
1,70.5000000,53.7940000,18.8152645
2,76.8000000,71.7300000,37.2642639
3,78.7500000,76.6480000,55.6832376
4,80.8700000,79.3620000,74.2208428
5,82.2500000,81.5580000,92.4907308
6,82.3900000,83.3260000,111.6557579
7,83.1100000,84.7480000,130.1360879
8,83.6000000,86.1000000,148.3942182
9,83.9900000,87.1720000,166.7588615
10,83.9400000,88.3360000,185.0756593
11,83.6600000,89.1360000,203.7518406
12,84.3100000,89.9700000,221.9336708
13,84.1400000,90.7680000,240.2454622
14,84.3300000,91.6460000,258.6004505
15,84.1300000,92.3480000,277.0722928
16,84.3400000,93.0780000,296.1425264
17,84.3200000,93.4660000,314.4212022
18,84.6500000,93.9840000,333.2512698
19,84.7000000,94.3020000,352.2673674
20,84.4700000,94.8540000,371.3073425
21,84.5600000,95.3280000,389.6604316
22,84.6500000,95.4200000,408.6197672
23,85.1700000,95.8460000,426.8212438
