epoch,acc test,acc train,time
1,69.3200000,54.8980000,14.5421791
2,76.3100000,72.7920000,29.0753551
3,79.8000000,76.9160000,43.6534214
4,81.3200000,80.0480000,58.1546142
5,82.3000000,82.1600000,72.6077251
6,83.1900000,83.9660000,87.1811457
7,83.7700000,85.1060000,101.7528222
8,84.1600000,86.6660000,116.2565126
9,84.5800000,87.8260000,130.7279799
10,84.6100000,88.8320000,145.2485313
11,84.8100000,89.8680000,159.7964244
12,84.7500000,90.6300000,174.3225212
13,84.6800000,91.6880000,188.7366495
14,84.7800000,92.1580000,203.2084508
15,84.9900000,92.7340000,217.7091424
16,85.0600000,93.2980000,232.2512333
