epoch,acc test,acc train,time
1,68.4400000,53.7820000,18.6240623
2,75.1600000,72.0080000,36.8873098
3,79.4400000,76.8940000,55.9946208
4,80.8900000,79.6700000,74.3347068
5,82.0000000,82.1760000,92.8993454
6,82.9400000,83.5160000,111.2763193
7,83.6100000,85.4160000,130.0311043
8,84.0400000,86.7120000,148.2800050
9,84.3800000,87.7260000,167.5151224
10,84.4100000,88.6120000,185.8194513
11,84.0700000,89.7560000,204.7772698
12,85.1200000,90.3140000,223.2651255
