epoch,acc test,acc train,time
1,70.9300000,55.2300000,14.4365478
2,77.7300000,72.9460000,28.9157493
3,79.2300000,77.3840000,43.4548957
4,80.9900000,80.1720000,57.9495122
5,82.2500000,82.2880000,72.4737110
6,82.8700000,83.8800000,86.9792950
7,83.5200000,85.7480000,101.4273736
8,83.4600000,86.8580000,116.0199552
9,83.9300000,87.6700000,130.4405684
10,84.2400000,88.6440000,144.9882674
11,84.3400000,89.5680000,159.3974299
12,84.7200000,90.5720000,173.9708521
13,84.2400000,91.1020000,188.4794466
14,85.1000000,91.7760000,203.0370133
