epoch,acc test,acc train,time
1,72.0600000,55.7260000,14.4461062
2,77.6400000,72.9680000,28.9614816
3,80.0100000,77.8140000,43.4979634
4,81.4300000,80.4840000,57.9067211
5,82.7000000,82.6220000,72.4647887
6,83.4600000,84.3880000,86.9760253
7,83.8900000,85.7920000,101.5419521
8,84.2500000,86.9440000,116.0007973
9,84.6700000,88.1480000,130.5339458
10,84.9700000,88.8800000,145.0504992
11,84.6000000,90.0880000,159.6670616
12,84.8500000,90.9300000,174.1319661
13,84.7400000,91.4780000,188.6432550
14,85.0900000,92.2060000,203.1650827
