epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
1,781,0.04819782686905122,0.0016154620162045605,1.6485193180213664,38.37377960947503,87.72907330345711,61.62622039052497,12.270926696542887,0.01650213132238692,0.005367368649525248,1.422507276916504,50.17,94.08,49.83,5.920000000000002
2,1562,0.04680415304919058,0.0015609459748799303,1.1639310100930296,57.9955585787452,95.32800496158771,42.0044414212548,4.671995038412291,0.01486709011588127,0.0046481934322673045,1.0538318126678468,65.82,97.4,34.18000000000001,2.5999999999999943
3,2343,0.04646704688420216,0.0013823381001451716,0.9582075784972627,65.97961347631242,96.96402848911652,34.02038652368758,3.035971510883485,0.015410364053811238,0.005310099595671247,0.9455416204929352,69.35,97.76,30.650000000000006,2.239999999999995
4,3124,0.046725185824112156,0.0014605259620578586,0.8126541308953729,71.37183898847631,97.88232234314981,28.628161011523687,2.1176776568501907,0.014973755854709893,0.005110209155234561,0.8141484368801117,73.51,98.35,26.489999999999995,1.6500000000000057
5,3905,0.046960163665947324,0.0014635151998639564,0.7261662646536637,74.56235995518566,98.32596430857875,25.437640044814344,1.6740356914212526,0.014760614200762122,0.004925831108336236,0.7450342414855957,75.55,98.66,24.450000000000003,1.3400000000000034
6,4686,0.04679846427810024,0.0014604417065804808,0.6642092725073635,76.90610995518566,98.56504081306018,23.093890044814344,1.434959186939821,0.015479841050069044,0.005201239494761084,0.579811006641388,81.09,98.93,18.909999999999997,1.0699999999999932
7,5467,0.04682009381918229,0.0014803305783436637,0.615413885377586,78.62315941101153,98.76560499359795,21.376840588988472,1.2343950064020532,0.01588254521606834,0.005324588459768113,0.6006612242698669,79.8,98.99,20.200000000000003,1.0100000000000051
8,6248,0.04669399053888651,0.001475606166141134,0.5741547509436418,80.0871278809219,98.94466229193341,19.912872119078102,1.0553377080665882,0.015942503692238194,0.005644654012789392,0.6925112730026245,78.49,98.97,21.510000000000005,1.0300000000000011
9,7029,0.047001080384785635,0.0014827855875794316,0.546679474594651,80.98591549295774,99.06270006402049,19.014084507042256,0.9372999359795102,0.015176801924492903,0.005315440475561057,0.5200641945838929,83.1,99.24,16.900000000000006,0.7600000000000051
10,7810,0.04688745882080703,0.0015856963266331163,0.5162330363303538,82.05225672215109,99.10321302816901,17.947743277848915,0.8967869718309913,0.015448626439282848,0.004712949133223029,0.5125707775115966,82.27,99.28,17.730000000000004,0.7199999999999989
11,8591,0.046957077351178156,0.0014782486132867206,0.4949896606341214,82.71846991037133,99.19924375800257,17.281530089628674,0.8007562419974334,0.015462179852139418,0.005262248834986595,0.41318071246147153,86.45,99.38,13.549999999999997,0.6200000000000045
12,9372,0.046861138752877486,0.001475391253619127,0.4759814757925295,83.32566421254802,99.28227032650449,16.67433578745198,0.7177296734955121,0.01608394817182213,0.005197070966100997,0.38886151814460757,86.64,99.45,13.36,0.5499999999999972
13,10153,0.047408451649352014,0.0015366816184890103,0.4588491166256149,84.0729033290653,99.28377080665813,15.927096670934702,0.7162291933418743,0.01523427143218411,0.005318960566429575,0.5367235105037689,83.09,99.17,16.909999999999997,0.8299999999999983
14,10934,0.04653025161899464,0.0015203244554859118,0.44645073246711653,84.37099871959028,99.34879161331627,15.629001280409724,0.6512083866837344,0.015090690296926315,0.005011874399367411,0.42291030349731445,86.08,99.51,13.920000000000002,0.4899999999999949
15,11715,0.04667446524782461,0.0015101942606985798,0.42826779472919496,85.10173255441741,99.37179897567222,14.89826744558259,0.6282010243277796,0.01543762881285066,0.00522045420992906,0.5605593239784241,82.33,99.43,17.67,0.5699999999999932
16,12496,0.046663898511976956,0.0014881437475031073,0.41642940263818384,85.46284811139564,99.40130841869399,14.537151888604356,0.5986915813060136,0.01489263583140768,0.004901046206237404,0.3332146947860718,88.81,99.61,11.189999999999998,0.39000000000000057
17,13277,0.046253671414110326,0.0015133596412961522,0.4090692305725149,85.74393806017926,99.4353193021767,14.25606193982074,0.5646806978233059,0.015105534511007322,0.005282995807137459,0.4075617379665375,86.74,99.61,13.260000000000005,0.39000000000000057
18,14058,0.04667762482822628,0.0013713629083963118,0.39707014966331583,86.17257522407171,99.46332826504481,13.827424775928293,0.5366717349551919,0.01568794098629314,0.00507511910359571,0.37826763305664063,87.5,99.65,12.5,0.3499999999999943
19,14839,0.04613066727006939,0.0013648556991362236,0.38986925355298263,86.40314900768246,99.5298495518566,13.596850992317542,0.4701504481434,0.01462120463134377,0.004926257832035138,0.4709537360727787,85.33,99.36,14.670000000000002,0.6400000000000006
20,15620,0.04640701455129704,0.0014806034928247353,0.38069229280139666,86.78127000640205,99.51434459026889,13.218729993597947,0.485655409731109,0.015494310172500124,0.0054371539194872425,0.4134808705329895,87.26,99.5,12.739999999999995,0.5
21,16401,0.04609820784740961,0.0015142882831881202,0.3758534044790512,86.85779449423815,99.54585467349551,13.14220550576185,0.4541453265044879,0.014968073292143025,0.004927214543530896,0.5125942434549332,84.48,99.62,15.519999999999996,0.37999999999999545
22,17182,0.04602050231757756,0.001409388687485464,0.3658034824378664,87.24491837387964,99.5603593149808,12.755081626120358,0.4396406850191994,0.014814587915019625,0.005120860543220666,0.3612000593185425,88.54,99.67,11.459999999999994,0.3299999999999983
23,17963,0.04562954743906722,0.001393135317461744,0.3622674249236623,87.30343709987196,99.58836827784891,12.696562900128043,0.41163172215108546,0.014591812328168542,0.004872537722253495,0.3331821690559387,89.27,99.6,10.730000000000004,0.4000000000000057
24,18744,0.048793307034520575,0.0017490167165993117,0.3548224166741597,87.68705985915493,99.57436379641486,12.312940140845072,0.4256362035851424,0.0166863802891628,0.006442709333577733,0.45877862544059755,86.03,99.4,13.969999999999999,0.5999999999999943
25,19525,0.05016314662830778,0.0022057543643458095,0.35046436932419694,87.81560099231754,99.57686459667093,12.184399007682458,0.42313540332906996,0.018037095950667267,0.0066893768917982745,0.502830841255188,84.91,99.48,15.090000000000003,0.519999999999996
26,20306,0.05111078385659583,0.0021774295655469125,0.3496575137831643,87.83510723431498,99.60537371959028,12.164892765685025,0.3946262804097245,0.016106777130418522,0.005850690185644065,0.33863350973129275,89.22,99.67,10.780000000000001,0.3299999999999983
27,21087,0.05187636423049907,0.002085599642862278,0.34128694400363024,88.043173815621,99.6458866837388,11.956826184378997,0.35411331626120557,0.019150618534938546,0.007136785300673952,0.31569780893325805,89.76,99.76,10.239999999999995,0.23999999999999488
28,21868,0.05188888837982842,0.002320410805383504,0.3359127066619265,88.25524167733674,99.6153769206146,11.744758322663259,0.3846230793854062,0.01749399209478099,0.006395725687597967,0.35753550515174864,88.75,99.55,11.25,0.45000000000000284
29,22649,0.052174554744236906,0.0022562411011562765,0.33524053477981486,88.24323783610755,99.63738396286811,11.756762163892446,0.36261603713188606,0.017919642150781716,0.006567093976743662,0.39442047998905183,87.14,99.5,12.86,0.5
30,23430,0.05137934116944766,0.0021346833428103245,0.3320580061320001,88.39228553137004,99.61637724071703,11.607714468629965,0.3836227592829715,0.017677258534036625,0.006216173718689354,0.38358803324699403,87.54,99.64,12.459999999999994,0.35999999999999943
31,24211,0.05057130580369703,0.0020970196180551213,0.3253495665541379,88.56734154929578,99.66289212548016,11.432658450704224,0.3371078745198446,0.017007771570971057,0.006161601680099584,0.35603417279720306,88.52,99.65,11.480000000000004,0.3499999999999943
32,24992,0.05054768282686397,0.0019957552188184595,0.3250105366416075,88.60385323303457,99.65588988476313,11.39614676696543,0.34411011523687307,0.016738311500306344,0.0063149412726141085,0.3140258095264435,89.94,99.66,10.060000000000002,0.3400000000000034
33,25773,0.05149900195845874,0.002098048389644843,0.3181486090838375,88.90795054417414,99.67589628681178,11.092049455825858,0.3241037131882223,0.016306585567012713,0.0061037403762720195,0.3154270090341568,89.92,99.62,10.079999999999998,0.37999999999999545
34,26554,0.050849423976316956,0.0020051219246604228,0.3164207853577201,88.95696622919334,99.6828985275288,11.043033770806659,0.3171014724711938,0.01702578204452612,0.006330001126429078,0.39147346787452697,87.89,99.63,12.11,0.37000000000000455
35,27335,0.0507112599518174,0.0020140600265522468,0.3109949644793316,89.0900088028169,99.70840669014085,10.909991197183103,0.2915933098591523,0.01783265429697219,0.006333635111523282,0.386966064119339,88.09,99.56,11.909999999999997,0.4399999999999977
