epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
1,195,0.056162518721360424,0.005818277750259791,1.7878054343737089,31.95713141025641,84.61538461538461,68.04286858974359,15.384615384615387,0.038312864303588864,0.024724096059799194,1.9048362535476684,38.29,88.19,61.71,11.810000000000002
2,390,0.050170622116480115,0.00493628428532527,1.2944573781429194,52.48998397435897,94.33092948717949,47.51001602564103,5.669070512820511,0.03343193531036377,0.02130712866783142,1.2500841358184815,56.06,95.28,43.94,4.719999999999999
3,585,0.05008924802144368,0.005093913200574044,1.0173893641202878,63.50160256410256,96.71073717948718,36.49839743589744,3.2892628205128176,0.03387110829353333,0.020773422718048096,1.2586779060363769,57.14,95.99,42.86,4.010000000000005
4,780,0.04972618054120968,0.004854879623804337,0.8678387666359926,69.12459935897436,97.6963141025641,30.875400641025635,2.303685897435898,0.034214752912521365,0.021781355142593384,1.256025634765625,59.7,95.88,40.3,4.1200000000000045
5,975,0.05003205935160319,0.004965351789425581,0.7733807545441848,72.66225961538461,98.10697115384616,27.337740384615387,1.8930288461538396,0.03123325705528259,0.01995764970779419,1.1740417615890504,61.01,96.31,38.99,3.6899999999999977
6,1170,0.04960093253698104,0.0045145010336851464,0.6867129124127902,75.79927884615384,98.52964743589743,24.20072115384616,1.4703525641025692,0.03228929042816162,0.021816623210906983,0.8892122811317443,70.89,98.22,29.11,1.7800000000000011
7,1365,0.04947880965012771,0.0047026964334341195,0.6172896168170832,78.37940705128206,98.8661858974359,21.620592948717942,1.1338141025641022,0.03172771334648132,0.020828044414520262,1.0944345462799072,66.97,97.08,33.03,2.9200000000000017
8,1560,0.04985785484313965,0.005117328350360577,0.5756096645807609,80.01802884615384,99.00440705128206,19.98197115384616,0.9955929487179418,0.03320692181587219,0.020628136396408082,0.7565329137802124,75.33,98.13,24.67,1.8700000000000045
9,1755,0.05019931548681015,0.004918901736919696,0.5327374742581295,81.57251602564102,99.0244391025641,18.427483974358978,0.9755608974358978,0.03219856023788452,0.02119085192680359,1.0092051078796387,70.7,97.56,29.299999999999997,2.4399999999999977
10,1950,0.04922057176247621,0.004865576670720027,0.5016216279604496,82.61017628205128,99.23677884615384,17.389823717948715,0.7632211538461604,0.033050984144210815,0.022174251079559327,0.8511473561286926,72.53,98.83,27.47,1.1700000000000017
11,2145,0.04942487936753493,0.0045924553504356974,0.46925872075252045,83.8661858974359,99.27083333333333,16.133814102564102,0.7291666666666714,0.03359355926513672,0.02144518494606018,0.8507358036041259,75.44,97.44,24.560000000000002,2.5600000000000023
12,2340,0.049461061526567505,0.004724588149633163,0.4467433934028332,84.4551282051282,99.44911858974359,15.544871794871796,0.5508814102564088,0.032858020067214964,0.02176700234413147,0.6520568331718445,78.53,98.73,21.47,1.269999999999996
13,2535,0.04923967092465132,0.004778118622608674,0.425201311478248,85.3525641025641,99.40705128205128,14.647435897435898,0.5929487179487154,0.033239102363586424,0.021807545423507692,0.6490517182350158,78.98,99.07,21.019999999999996,0.9300000000000068
14,2730,0.04956760895557893,0.0047649004520514075,0.41564146601236784,85.70913461538461,99.43709935897436,14.290865384615387,0.5629006410256352,0.03307710886001587,0.021977043151855467,0.5560497240066529,81.46,99.13,18.540000000000006,0.8700000000000045
15,2925,0.04929703688010191,0.005017534891764323,0.3901538417889522,86.34815705128206,99.55128205128206,13.651842948717942,0.4487179487179418,0.031355243921279904,0.02041335105895996,0.820436897277832,76.12,98.74,23.879999999999995,1.2600000000000051
16,3120,0.049228417567717724,0.004523681982969627,0.3723009324226624,86.92908653846153,99.58133012820512,13.070913461538467,0.4186698717948758,0.034003615379333496,0.02215326428413391,0.6635494031906128,79.7,98.4,20.299999999999997,1.5999999999999943
17,3315,0.050100870621510044,0.0049027137267283905,0.35711980958779654,87.5360576923077,99.59735576923077,12.463942307692307,0.4026442307692264,0.03467687964439392,0.02213941216468811,0.5023121626853942,82.88,99.38,17.120000000000005,0.6200000000000045
18,3510,0.050043271138117865,0.005372840930254031,0.35050816123302164,87.94070512820512,99.61939102564102,12.059294871794876,0.380608974358978,0.03496405482292175,0.02311614155769348,0.7003877482414246,79.02,98.98,20.980000000000004,1.019999999999996
19,3705,0.04947162041297326,0.004752836471948868,0.33646487142795173,88.3173076923077,99.65945512820512,11.682692307692307,0.3405448717948758,0.031168097257614137,0.020461130142211913,0.5350085628986359,82.2,99.18,17.799999999999997,0.8199999999999932
20,3900,0.049153329164553915,0.005044429730146359,0.32468295120275936,88.74198717948718,99.6854967948718,11.258012820512818,0.3145032051282044,0.032176476716995236,0.02005680799484253,0.48330556058883667,84.43,99.3,15.569999999999993,0.7000000000000028
