epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
1,781,0.07977041575423276,0.001766914594799242,1.6474908017929017,38.23298455505762,87.72607234314981,61.76701544494238,12.27392765685019,0.015501400467696463,0.005102884997228148,1.4201449380874633,50.41,93.94,49.59,6.060000000000002
2,1562,0.07853560227895974,0.0018843334554557458,1.1462848191835207,58.54123319462228,95.59409010883483,41.45876680537772,4.405909891165166,0.01627139832563461,0.005965826617684334,0.9740055449485778,67.03,97.24,32.97,2.760000000000005
3,2343,0.07923777887976886,0.0021192630640828503,0.9304833631967308,66.91191181177977,97.17834707106275,33.088088188220226,2.8216529289372545,0.017330005670049387,0.006772433116937139,1.0547745559692383,66.44,97.37,33.56,2.6299999999999955
4,3124,0.07919301022030174,0.002073802349662048,0.7864556552963892,72.31539092509603,98.06237996158771,27.684609074903975,1.937620038412291,0.015836058148912563,0.006022366748493948,0.9069640545845031,71.48,98.39,28.519999999999996,1.6099999999999994
5,3905,0.07906115619840146,0.0020387728296687754,0.6974062516274129,75.59419014084507,98.4862656049936,24.405809859154928,1.513734395006395,0.016055934748072532,0.006287998454585956,0.8152246621131897,74.23,98.47,25.769999999999996,1.5300000000000011
6,4686,0.07924129349321471,0.0021113348068256843,0.6355808852347766,77.78514124519846,98.70308498719591,22.21485875480154,1.2969150128040923,0.016775495687108132,0.0063559917887305,0.6957242707252502,78.12,98.43,21.879999999999995,1.5699999999999932
7,5467,0.07930607954457536,0.0020143402675965685,0.5838552330657554,79.69550256081946,98.88864436619718,20.304497439180537,1.111355633802816,0.01722883115148848,0.007008112160263548,0.6737163825035095,78.81,99.17,21.189999999999998,0.8299999999999983
8,6248,0.07920474645880822,0.0019174934807263324,0.5430917046134206,81.04618477912932,99.04294374199743,18.95381522087068,0.9570562580025666,0.017751995924931423,0.006186014527727844,0.66854521484375,80.02,98.9,19.980000000000004,1.0999999999999943
9,7029,0.07935553384651448,0.0021104363870071237,0.5131190927477408,82.1197783290653,99.14472631241998,17.880221670934702,0.8552736875800235,0.017125872290058502,0.006638763816493332,0.4697565502166748,84.71,99.18,15.290000000000006,0.8199999999999932
10,7810,0.07984430383933797,0.002184253343394105,0.48265742696583197,83.1696142765685,99.22100072023048,16.830385723431505,0.778999279769522,0.017323149237663125,0.006348775450591069,0.6684294561386108,78.43,98.88,21.569999999999993,1.1200000000000045
11,8591,0.07915682401913535,0.0021897091908277834,0.4632477409250452,83.87884122919334,99.29902568822023,16.12115877080666,0.700974311779774,0.015899916363369886,0.0063040453916902,0.46033909792900085,85.29,99.34,14.709999999999994,0.6599999999999966
12,9372,0.07952308135820259,0.002094532860378602,0.44250808679111175,84.47928337067862,99.3928056978233,15.520716629321385,0.6071943021766941,0.01687904072415297,0.00683460114108529,0.3541865390300751,87.94,99.53,12.060000000000002,0.46999999999999886
13,10153,0.07997630133976857,0.0023096120616995877,0.42547415069062333,85.13374279769526,99.38305257682458,14.866257202304737,0.616947423175418,0.017870564369639012,0.006407434013998433,0.5442353158473968,83.18,99.26,16.819999999999993,0.7399999999999949
14,10934,0.07994481421310679,0.002169429263751119,0.4068269423959197,85.82421374839949,99.4630781850192,14.175786251600513,0.5369218149808006,0.01691949139734742,0.005400601465990589,0.37215932455062867,87.22,99.5,12.780000000000001,0.5
15,11715,0.0798473376470705,0.0021812940223879455,0.3923995032925612,86.36938820422536,99.4840849071703,13.63061179577464,0.5159150928297009,0.016687142621180054,0.00627975554982568,0.6168410373210907,81.94,99.32,18.060000000000002,0.6800000000000068
16,12496,0.08058270144248894,0.002489529254341858,0.38197960480379844,86.67548615556979,99.52859915172856,13.324513844430214,0.47140084827144335,0.017243450614297468,0.006705467868003116,0.31850033099651337,89.22,99.62,10.780000000000001,0.37999999999999545
17,13277,0.0804655887711216,0.002210676593756096,0.37486641126161346,86.86454665492958,99.52359755121638,13.135453345070417,0.4764024487836167,0.01634957532214511,0.00619129162685127,0.41053289213180544,86.88,99.6,13.120000000000005,0.4000000000000057
18,14058,0.08089553470342932,0.0023998188453508247,0.35969466037771614,87.46023727592829,99.5758642765685,12.539762724071707,0.42413572343150463,0.016086654298624416,0.006176529416612759,0.4084927755355835,86.6,99.43,13.400000000000006,0.5699999999999932
19,14839,0.07975979254279338,0.0022072679102039215,0.353318998015339,87.6157870518566,99.61037532010243,12.3842129481434,0.38962467989756533,0.01598098475462312,0.006465211795393828,0.4387372959136963,86.31,99.37,13.689999999999998,0.6299999999999955
20,15620,0.07972300678453433,0.002206089554614508,0.34363660720032707,88.00766245198463,99.59236955825864,11.99233754801537,0.407630441741361,0.01766698071911077,0.006813134357428095,0.34551653912067415,88.69,99.64,11.310000000000002,0.35999999999999943
21,16401,0.07983356157124577,0.0021009646670919068,0.33751340206621855,88.17246518886043,99.61487676056338,11.827534811139572,0.3851232394366235,0.017765526558942854,0.006444896102710894,0.4608583202719688,86.16,99.55,13.840000000000003,0.45000000000000284
22,17182,0.07985432138821533,0.0023554711579971215,0.3273620400363138,88.54133322663252,99.64063500320103,11.458666773367483,0.3593649967989734,0.01675033721194905,0.0065550788952286835,0.32620925946235657,89.2,99.73,10.799999999999997,0.269999999999996
23,17963,0.07964114831443328,0.002155835741460705,0.3261744729535375,88.60210267285531,99.65538972471191,11.39789732714469,0.3446102752880904,0.015269607495350442,0.0049170642901378075,0.31060587134361267,89.78,99.74,10.219999999999999,0.2600000000000051
24,18744,0.07777776516659159,0.00185443771938661,0.31143286154532707,89.07375360115238,99.67139484635084,10.926246398847624,0.3286051536491641,0.01361875169596095,0.0045149265580875855,0.47586329808235167,86.52,99.24,13.480000000000004,0.7600000000000051
25,19525,0.07697529707309073,0.0015845488036640475,0.3133679937843171,88.99722911331627,99.68389884763124,11.002770886683734,0.31610115236875913,0.01336742358602536,0.004497907723590827,0.4520311412811279,86.43,99.5,13.569999999999993,0.5
26,20306,0.076965292956246,0.0015679037677799083,0.30952998560766254,89.16403249039692,99.69665292893725,10.83596750960308,0.3033470710627455,0.014215970494944578,0.004975894454178537,0.37494761743545535,88.24,99.6,11.760000000000005,0.4000000000000057
27,21087,0.07691738364333227,0.0015516903885805958,0.3019196551374223,89.39860755441741,99.70865677016646,10.60139244558259,0.29134322983354366,0.014395072961309154,0.004592151398871355,0.33103735537528994,89.29,99.54,10.709999999999994,0.45999999999999375
28,21868,0.0771976155294499,0.0017560779972051995,0.2962873473610829,89.6484375,99.7099071702945,10.3515625,0.2900928297055003,0.014172112106517622,0.004716795720871847,0.37240741410255435,88.39,99.63,11.61,0.37000000000000455
29,22649,0.07690784476325394,0.0015307477128032533,0.2961288202511058,89.55540773047375,99.72391165172856,10.444592269526254,0.27608834827144335,0.01298351652303319,0.004497567559503446,0.35137255325317385,88.29,99.7,11.709999999999994,0.29999999999999716
30,23430,0.07679049245221362,0.0014297034157375673,0.28943080754614364,89.80648807618438,99.71290813060179,10.19351192381562,0.2870918693982105,0.012651809461557181,0.00461484216580725,0.389437925195694,88.7,99.73,11.299999999999997,0.269999999999996
31,24211,0.07646815663873768,0.0013855523244977455,0.2815296188015944,90.07332346350832,99.75017005441741,9.926676536491684,0.24982994558259008,0.013429266631982888,0.0047149658203125,0.28478920781612393,90.53,99.73,9.469999999999999,0.269999999999996
32,24992,0.07680201805202665,0.001550123114591982,0.28327664732933044,90.01280409731113,99.73341469270166,9.987195902688867,0.2665853072983424,0.012569120735119862,0.0046014026471763655,0.3666825668811798,88.57,99.69,11.430000000000007,0.3100000000000023
33,25773,0.07664290890956199,0.001481008285444311,0.280319431422233,90.19186139564661,99.737666053137,9.808138604353388,0.26233394686299505,0.012655180730637471,0.004655216909517907,0.2991248071670532,90.65,99.75,9.349999999999994,0.25
34,26554,0.0767352999248822,0.0015735064517520606,0.27670506120834704,90.30964908770807,99.75667213508322,9.690350912291933,0.24332786491677894,0.013068557544878333,0.004461827551483348,0.3266804732322693,89.58,99.76,10.420000000000002,0.23999999999999488
35,27335,0.07674105249812753,0.001522196392396348,0.27000157572281347,90.47895326504481,99.77367757682458,9.521046734955192,0.22632242317541795,0.012922895941764686,0.004652410555797018,0.410961655664444,87.71,99.63,12.290000000000006,0.37000000000000455
36,28116,0.07667592331938798,0.0014857955839814054,0.2678376802847877,90.53147007042253,99.77992957746478,9.468529929577471,0.22007042253521547,0.01355022837401955,0.004635151784131482,0.2752047371864319,91.35,99.73,8.650000000000006,0.269999999999996
37,28897,0.07670087789909177,0.001649071098747693,0.269041681936471,90.5759843149808,99.77067661651729,9.4240156850192,0.22932338348270775,0.012816126938838109,0.004396616273624882,0.2895757673025131,90.76,99.76,9.239999999999995,0.23999999999999488
38,29678,0.07667716914041399,0.0015328831007172296,0.2647081143705701,90.63875440140845,99.77892925736235,9.361245598591552,0.22107074263765014,0.013414285744831061,0.004924509935318285,0.3068976942539215,90.31,99.72,9.689999999999998,0.28000000000000114
39,30459,0.07675097205422142,0.0014935638779409411,0.26356778831892524,90.76154369398208,99.77942941741357,9.238456306017923,0.2205705825864328,0.012288029786128148,0.004623098737874608,0.36131741065979006,89.23,99.55,10.769999999999996,0.45000000000000284
40,31240,0.07675202555296211,0.0015222623314656003,0.2624601776522039,90.80355713828425,99.78893245838668,9.196442861715752,0.21106754161331764,0.012826090405701072,0.004775033634939012,0.2901734453678131,91.24,99.69,8.760000000000005,0.3100000000000023
41,32021,0.07658215582599713,0.001506266001702576,0.25959517611202604,90.89258562740076,99.78143005761844,9.107414372599237,0.21856994238156346,0.01248690732725107,0.004343049541400496,0.2849371843338013,90.82,99.65,9.180000000000007,0.3499999999999943
42,32802,0.07651696192928222,0.0013794224332450446,0.2564537836937532,90.99911971830986,99.80318701984635,9.000880281690144,0.196812980153652,0.0125501186225065,0.004498360263314217,0.26890705271959303,91.47,99.69,8.530000000000001,0.3100000000000023
43,33583,0.07658959747734509,0.001481924105850591,0.25449128299188367,91.03788212227913,99.7956846190781,8.962117877720871,0.20431538092189783,0.012696120389707528,0.004581545568575525,0.2587900163412094,91.92,99.69,8.079999999999998,0.3100000000000023
44,34364,0.07669108075765886,0.0015066219505671503,0.2514182785466294,91.18442901728554,99.7864316581306,8.815570982714462,0.21356834186940432,0.01297370339654813,0.004471235214524968,0.30794568567276,90.51,99.65,9.489999999999995,0.3499999999999943
45,35145,0.07657420497850327,0.001448670361625095,0.250918689900568,91.15066821382842,99.80893886043533,8.849331786171575,0.19106113956466686,0.013219594955444336,0.0047146818440431245,0.29941382427215574,90.61,99.56,9.39,0.4399999999999977
46,35926,0.07684573718130817,0.0017266120861800776,0.24718075859981675,91.31422055057618,99.80318701984635,8.68577944942382,0.196812980153652,0.014040615907899893,0.005631720184520551,0.30776384942531587,90.29,99.79,9.709999999999994,0.20999999999999375
47,36707,0.0770255991194526,0.001737208433554206,0.2471338947435958,91.25320102432778,99.79968589948784,8.74679897567222,0.20031410051215914,0.013025955030113268,0.004781771617330563,0.26994396290779116,91.85,99.72,8.150000000000006,0.28000000000000114
48,37488,0.07676489679822543,0.0015196812442872345,0.24064271583218275,91.55329705505761,99.8106894206146,8.446702944942388,0.18931057938540619,0.013001059270968103,0.004457040956825207,0.3377168386936188,89.65,99.58,10.349999999999994,0.4200000000000017
49,38269,0.07660284359842806,0.0014711183408768931,0.2403273528844843,91.55754841549296,99.81269006081946,8.44245158450704,0.18730993918053684,0.012988819438181106,0.004499277491478403,0.3074491181015968,90.67,99.8,9.329999999999998,0.20000000000000284
50,39050,0.07654469785555987,0.0015627663205741462,0.24298937471819596,91.48802616837388,99.79093309859155,8.511973831626122,0.2090669014084483,0.013021133507892585,0.0045161292811108245,0.2708261771798134,91.62,99.75,8.379999999999995,0.25
51,39831,0.07671188239709363,0.0015767264763005412,0.23670189813370893,91.66833386683739,99.82994558258643,8.331666133162614,0.1700544174135672,0.013148843862448528,0.004464046210999701,0.2920822386980057,91.22,99.72,8.780000000000001,0.28000000000000114
52,40612,0.07660424785638435,0.0015395881271850743,0.23955020343791814,91.55629801536492,99.83144606274007,8.443701984635084,0.1685539372599294,0.01287816132709479,0.004515884788173019,0.2642039039134979,91.9,99.75,8.099999999999994,0.25
53,41393,0.0766972503344625,0.0015485024177463351,0.2394172413496446,91.59406009923175,99.80918894046094,8.405939900768246,0.1908110595390582,0.013123673238572041,0.004778022219420998,0.3221976220726967,89.34,99.75,10.659999999999997,0.25
54,42174,0.07654284972998,0.001504372085102389,0.2388937491899721,91.63732394366197,99.81869198143406,8.362676056338032,0.18130801856594303,0.01276990106910657,0.004711831451221636,0.2767617798805237,91.51,99.77,8.489999999999995,0.23000000000000398
55,42955,0.07658117711925629,0.0015408904238028043,0.2349869595523375,91.70459547055057,99.81243998079385,8.295404529449428,0.1875600192061455,0.01250700738020004,0.0044191809976176855,0.40542325212955477,88.63,99.42,11.370000000000005,0.5799999999999983
56,43736,0.07647865682496914,0.0014488364303921004,0.23345026543671588,91.76736555697823,99.82519406209987,8.232634443021766,0.17480593790013188,0.012868399832658707,0.004606701006555253,0.4166796577215195,88.37,99.15,11.629999999999995,0.8499999999999943
57,44517,0.07656527664536246,0.0015140257480049865,0.2306541482728361,91.87515004801537,99.82344350192062,8.12484995198463,0.17655649807937834,0.012729072267082846,0.004401846296468358,0.25884182648658755,92.15,99.79,7.849999999999994,0.20999999999999375
58,45298,0.07637652209107305,0.001393730600725826,0.23224009502865137,91.84363996478874,99.82569422215109,8.156360035211264,0.17430577784891454,0.01280195394139381,0.004499632841462542,0.326584695148468,90.11,99.65,9.89,0.3499999999999943
59,46079,0.07645782191072628,0.0015013721627248845,0.22891388586442082,91.96968029769526,99.83994878361075,8.030319702304737,0.1600512163892489,0.01254834794694451,0.004500317725406331,0.2846389479160309,91.28,99.76,8.719999999999999,0.23999999999999488
60,46860,0.07636417011598008,0.001426658618160155,0.23245588514510251,91.81788172215109,99.82794494238156,8.182118277848915,0.17205505761843654,0.012479700100649693,0.004468143365945026,0.2523934740781784,91.94,99.82,8.060000000000002,0.18000000000000682
61,47641,0.07662111360498641,0.001496838241166861,0.2309901782534492,91.85864476632523,99.81569102112677,8.141355233674773,0.18430897887323283,0.012877997319409801,0.00444828476875451,0.3212499128341675,90.67,99.54,9.329999999999998,0.45999999999999375
62,48422,0.07638234335084883,0.001467827798157129,0.22933764729968412,91.90791053137004,99.83194622279129,8.092089468629965,0.16805377720871206,0.012329452356715112,0.004509685905116379,0.2802314133644104,91.16,99.8,8.840000000000003,0.20000000000000284
63,49203,0.07647533667072291,0.0014685204636577455,0.22511059270930808,92.11297615236876,99.84319982394366,7.887023847631241,0.15680017605633623,0.013318508293977968,0.0048731451581238185,0.316485014629364,90.5,99.75,9.5,0.25
64,49984,0.07657499380514655,0.0014533575304644362,0.22299485831079044,92.12497999359795,99.82719470230474,7.875020006402053,0.17280529769526254,0.012413693081801104,0.004481813710206633,0.2707354841470718,91.9,99.77,8.099999999999994,0.23000000000000398
65,50765,0.07654106815401632,0.001421956185647376,0.22594268185953478,92.0594590268886,99.8324463828425,7.940540973111396,0.16755361715749473,0.01282708356334905,0.004406610112281362,0.27171908876895906,91.58,99.83,8.420000000000002,0.1700000000000017
66,51546,0.0765989235818157,0.0014970791019337125,0.223302454242862,92.11322623239437,99.84620078425095,7.886773767605632,0.15379921574904643,0.01234362839133876,0.004385996776021969,0.3350163004875183,90.06,99.58,9.939999999999998,0.4200000000000017
67,52327,0.07646491463449945,0.0014711116248605804,0.2252354628851258,92.0594590268886,99.8379481434059,7.940540973111396,0.16205185659410404,0.012204551393059409,0.004430341113145184,0.28134776329398153,91.72,99.74,8.280000000000001,0.2600000000000051
68,53108,0.07638501846225558,0.0014365586367520418,0.221718917086854,92.1902508802817,99.8477012644046,7.809749119718305,0.15229873559539442,0.012446093711124104,0.004391951166140806,0.29622241125106813,91.02,99.76,8.980000000000004,0.23999999999999488
69,53889,0.07635849264000809,0.0014434275950726107,0.21982743548141093,92.25577184699104,99.84795134443021,7.744228153008962,0.15204865556978575,0.0134984232058191,0.005701915473695014,0.28473156781196596,91.45,99.82,8.549999999999997,0.18000000000000682
70,54670,0.07669616875056268,0.001657012177490547,0.22087443780235078,92.2392665653009,99.84595070422536,7.760733434699105,0.15404929577464088,0.014194107359381997,0.006026284709857528,0.3503361268877983,89.86,99.5,10.14,0.5
71,55451,0.07639220490498366,0.0015103258335636153,0.21821000819093286,92.33854833546735,99.85145246478874,7.661451664532649,0.1485475352112644,0.012872840188870764,0.004521368415492355,0.2694303101301193,91.99,99.71,8.010000000000005,0.29000000000000625
72,56232,0.0765046035434464,0.0015275450888424921,0.21571570470757429,92.40131842189501,99.86195582586427,7.598681578104987,0.13804417413572878,0.012078002759605456,0.0044340479905438275,0.39817667760849,88.84,99.45,11.159999999999997,0.5499999999999972
73,57013,0.07661807735506612,0.0014897146847733462,0.2197766641343296,92.23226432458387,99.84044894366197,7.767735675416134,0.15955105633803157,0.012564836793644413,0.00457638388226746,0.30111543160676957,90.74,99.75,9.260000000000005,0.25
74,57794,0.07635174151724645,0.0014415571845295182,0.21606573953785757,92.43607954545455,99.83844830345711,7.563920454545453,0.1615516965428867,0.013058114203677815,0.004792655349537066,0.28500649931430816,91.17,99.82,8.829999999999998,0.18000000000000682
75,58575,0.07642389351213483,0.0014533630253868739,0.21427425412072415,92.51935619398208,99.84620078425095,7.480643806017923,0.15379921574904643,0.012123823165893555,0.004321531125694324,0.3114982294380665,91.15,99.62,8.849999999999994,0.37999999999999545
76,59356,0.07668250104681935,0.0014983383549923475,0.21485598693469424,92.43933058578745,99.8411991837388,7.560669414212555,0.15880081626120557,0.012584174514576128,0.004406602519332983,0.29544285629987715,91.05,99.69,8.950000000000003,0.3100000000000023
77,60137,0.076342848595828,0.0014244206583606755,0.21143056677413505,92.55861875800257,99.85470350512163,7.4413812419974334,0.14529649487836593,0.012621305550739264,0.004513950104926043,0.3335955026626587,90.31,99.66,9.689999999999998,0.3400000000000034
78,60918,0.07645296195710362,0.0014209606888657496,0.21303883420062583,92.53486115556979,99.84870158450704,7.465138844430214,0.15129841549295975,0.012513136408131594,0.004384115243413646,0.2727713303089142,92.03,99.8,7.969999999999999,0.20000000000000284
79,61699,0.07646090914131584,0.0014653837787662364,0.2120407602526772,92.5233574743918,99.85295294494239,7.476642525608199,0.1470470550576124,0.01219555982358896,0.004166505898639655,0.2727678687572479,91.76,99.8,8.239999999999995,0.20000000000000284
80,62480,0.07639063824154198,0.0014708313838162586,0.2106387616253235,92.60363316261204,99.85620398527529,7.3963668373879585,0.14379601472471393,0.012373312263731744,0.004432120900245229,0.2922865687727928,91.34,99.77,8.659999999999997,0.23000000000000398
81,63261,0.07645688197371596,0.0014568434482042066,0.2113546856157911,92.56712147887323,99.85695422535211,7.432878521126767,0.14304577464788792,0.01257282913110818,0.004641482784489917,0.2644911009520292,92.06,99.73,7.939999999999998,0.269999999999996
82,64042,0.07636986407671939,0.0014138795654843924,0.12567225971978238,95.69887363956467,99.94923375480154,4.301126360435333,0.05076624519846007,0.012447070164285647,0.00441610129775515,0.172533738347888,94.71,99.88,5.290000000000006,0.12000000000000455
83,64823,0.07640573370929869,0.0014187715728212716,0.10251278786534841,96.48012363956467,99.95823663572344,3.519876360435333,0.04176336427656224,0.012485739531790375,0.004268898326120559,0.17433998820185662,94.82,99.89,5.180000000000007,0.10999999999999943
84,65604,0.0765121825678553,0.0014353280793994703,0.09364156077035182,96.77046654929578,99.95748639564661,3.229533450704224,0.042513604353388246,0.012663742539229667,0.004510247783296427,0.17879585668444634,94.86,99.9,5.140000000000001,0.09999999999999432
85,66385,0.07632679517992633,0.0014217476838682128,0.08885787608681507,96.92901728553137,99.96423855633803,3.0709827144686273,0.03576144366196843,0.01258565513951004,0.004473894265047304,0.17664786572158336,94.81,99.87,5.189999999999998,0.12999999999999545
86,67166,0.0763312533936641,0.0013548872992873344,0.08550992532228996,97.0368017765685,99.96423855633803,2.9631982234315046,0.03576144366196843,0.012239494141499708,0.004410834828759455,0.1742328022956848,94.9,99.87,5.099999999999994,0.12999999999999545
87,67947,0.07645325349326629,0.0014825157258330478,0.08133281709175562,97.1860995518566,99.96623919654289,2.8139004481434,0.0337608034571133,0.012522545589762887,0.004357117756157164,0.17864188032895326,95.04,99.88,4.959999999999994,0.12000000000000455
88,68728,0.07640978774096382,0.0014161578213817483,0.07789134624129145,97.31689140524968,99.97474191741357,2.6831085947503226,0.025258082586432806,0.012289490669396273,0.004176325099483417,0.17740203190147877,95.03,99.88,4.969999999999999,0.12000000000000455
89,69509,0.07661621823964138,0.0014685683915923408,0.07622818588475946,97.3571542893726,99.97149087708067,2.642845710627398,0.028509122919331276,0.013119764388746517,0.00472963084081176,0.17937129937708376,94.96,99.89,5.040000000000006,0.10999999999999943
90,70290,0.07728535081909804,0.0018537221583758365,0.07558940871405236,97.36915813060179,99.97449183738796,2.6308418693982105,0.025508162612041474,0.013360026535714508,0.00457699587390681,0.1764259236842394,94.96,99.89,5.040000000000006,0.10999999999999943
91,71071,0.07718196599034738,0.0017010958032937728,0.07323950305151802,97.4886963828425,99.96999039692702,2.5113036171574947,0.030009603072983282,0.013538225441221978,0.00484370577866864,0.1809461205393076,95.03,99.91,4.969999999999999,0.09000000000000341
92,71852,0.07706071869511916,0.001640870842829862,0.07242844706441773,97.48144406209987,99.97274127720871,2.518555937900132,0.027258722791287937,0.013216979944022598,0.004728886731870615,0.18567759757637978,94.81,99.91,5.189999999999998,0.09000000000000341
93,72633,0.07723117576823803,0.0016029635098465883,0.07028537532898971,97.56221991037133,99.97674255761844,2.4377800896286743,0.023257442381563465,0.013209320177697832,0.0043135463811789345,0.1861531226992607,94.86,99.9,5.140000000000001,0.09999999999999432
94,73414,0.07680731393616269,0.0015526074300807509,0.0695321510871455,97.61998839628681,99.97949343790013,2.3800116037131858,0.02050656209986812,0.013213301919827796,0.004690844541901995,0.1851068501651287,94.99,99.86,5.010000000000005,0.14000000000000057
95,74195,0.07685870367189375,0.0015313588702877108,0.06771575991736865,97.6687540012804,99.97649247759283,2.331245998719595,0.023507522407172132,0.013535318860582485,0.004896859454501207,0.1801289255052805,94.9,99.91,5.099999999999994,0.09000000000000341
96,74976,0.07702928163330625,0.0017343663375600504,0.06674334321233054,97.70876680537772,99.97724271766965,2.2912331946222793,0.02275728233034613,0.013433052476044673,0.004816720440129566,0.18610560716092586,94.93,99.89,5.069999999999993,0.10999999999999943
97,75757,0.07697006987548516,0.0015827934812186774,0.06668655328672002,97.69151128361075,99.97499199743918,2.308488716389249,0.02500800256082414,0.013077497482299805,0.004527966687633733,0.18714264861345292,94.81,99.89,5.189999999999998,0.10999999999999943
98,76538,0.07680056922414391,0.0015316494906299704,0.06494331384189761,97.7385263284251,99.9819942381562,2.2614736715749046,0.018005761843795653,0.013797990835396347,0.004503487022059738,0.18988893010020255,94.89,99.88,5.109999999999999,0.12000000000000455
99,77319,0.07688347478224282,0.001543489522115827,0.06421123443126069,97.77053657170295,99.98349471830986,2.229463428297052,0.016505281690143647,0.013504066285054395,0.004663994357844067,0.1939663268685341,94.84,99.88,5.159999999999997,0.12000000000000455
100,78100,0.07689677890528485,0.0016031106516585308,0.06387343797379587,97.80004601472471,99.97949343790013,2.199953985275286,0.02050656209986812,0.01383350457355475,0.004551639982089875,0.1954354877948761,94.86,99.89,5.140000000000001,0.10999999999999943
